## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT SRR12991870_group.bam --OUTPUT SRR12991870_dedup_reads.bam --METRICS_FILE SRR12991870_metrics.txt --ASSUME_SORTED true --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 12 12:23:49 IST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	60935	2076	6	0	22320	0	0.366292	61302

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999996	31312	31312
2.0	1.370083	4530	4530
3.0	1.507048	1291	1291
4.0	1.557737	473	473
5.0	1.576496	217	217
6.0	1.583439	133	133
7.0	1.586008	88	88
8.0	1.586959	69	69
9.0	1.587311	59	59
10.0	1.587441	43	43
11.0	1.587489	38	38
12.0	1.587507	36	36
13.0	1.587514	24	24
14.0	1.587516	23	23
15.0	1.587517	27	27
16.0	1.587518	15	15
17.0	1.587518	17	17
18.0	1.587518	9	9
19.0	1.587518	13	13
20.0	1.587518	13	13
21.0	1.587518	14	14
22.0	1.587518	12	12
23.0	1.587518	8	8
24.0	1.587518	13	13
25.0	1.587518	9	9
26.0	1.587518	7	7
27.0	1.587518	3	3
28.0	1.587518	10	10
29.0	1.587518	6	6
30.0	1.587518	6	6
31.0	1.587518	5	5
32.0	1.587518	6	6
33.0	1.587518	7	7
34.0	1.587518	5	5
35.0	1.587518	2	2
36.0	1.587518	5	5
37.0	1.587518	0	0
38.0	1.587518	2	2
39.0	1.587518	5	5
40.0	1.587518	5	5
41.0	1.587518	1	1
42.0	1.587518	4	4
43.0	1.587518	2	2
44.0	1.587518	2	2
45.0	1.587518	3	3
46.0	1.587518	1	1
47.0	1.587518	2	2
48.0	1.587518	1	1
49.0	1.587518	1	1
50.0	1.587518	1	1
51.0	1.587518	3	3
52.0	1.587518	1	1
53.0	1.587518	1	1
54.0	1.587518	3	3
55.0	1.587518	0	0
56.0	1.587518	0	0
57.0	1.587518	2	2
58.0	1.587518	1	1
59.0	1.587518	2	2
60.0	1.587518	0	0
61.0	1.587518	0	0
62.0	1.587518	0	0
63.0	1.587518	0	0
64.0	1.587518	2	2
65.0	1.587518	0	0
66.0	1.587518	0	0
67.0	1.587518	1	1
68.0	1.587518	1	1
69.0	1.587518	0	0
70.0	1.587518	0	0
71.0	1.587518	0	0
72.0	1.587518	0	0
73.0	1.587518	0	0
74.0	1.587518	0	0
75.0	1.587518	0	0
76.0	1.587518	1	1
77.0	1.587518	0	0
78.0	1.587518	1	1
79.0	1.587518	0	0
80.0	1.587518	1	1
81.0	1.587518	1	1
82.0	1.587518	0	0
83.0	1.587518	0	0
84.0	1.587518	1	1
85.0	1.587518	0	0
86.0	1.587518	0	0
87.0	1.587518	0	0
88.0	1.587518	1	1
89.0	1.587518	1	1
90.0	1.587518	0	0
91.0	1.587518	1	1
92.0	1.587518	1	1
93.0	1.587518	1	1
94.0	1.587518	1	1
95.0	1.587518	0	0
96.0	1.587518	1	1
97.0	1.587518	1	1
98.0	1.587518	0	0
99.0	1.587518	0	0
100.0	1.587518	0	0
108.0	0	1	1
116.0	0	1	1
155.0	0	1	1
167.0	0	1	1
181.0	0	1	1
200.0	0	1	1
210.0	0	1	1

