#plotCoverage --outRawCounts
#'chr'	'start'	'end'	'SRR12991870.bam'
NC_045512.2	8194	8195	610.0
NC_045512.2	8195	8196	566.0
NC_045512.2	8196	8197	529.0
NC_045512.2	8197	8198	527.0
NC_045512.2	8198	8199	526.0
NC_045512.2	8199	8200	525.0
NC_045512.2	8200	8201	529.0
NC_045512.2	8201	8202	532.0
NC_045512.2	8202	8203	533.0
NC_045512.2	8203	8204	534.0
NC_045512.2	8204	8205	529.0
NC_045512.2	8205	8206	534.0
NC_045512.2	8206	8207	530.0
NC_045512.2	8207	8208	531.0
NC_045512.2	8208	8209	532.0
NC_045512.2	8209	8210	531.0
NC_045512.2	8210	8211	532.0
NC_045512.2	8211	8212	530.0
NC_045512.2	8212	8213	529.0
NC_045512.2	8213	8214	527.0
NC_045512.2	8214	8215	527.0
NC_045512.2	8215	8216	528.0
NC_045512.2	8216	8217	530.0
NC_045512.2	8217	8218	527.0
NC_045512.2	8218	8219	526.0
NC_045512.2	8219	8220	526.0
NC_045512.2	8220	8221	528.0
NC_045512.2	8221	8222	528.0
NC_045512.2	8222	8223	524.0
NC_045512.2	8223	8224	524.0
NC_045512.2	8224	8225	524.0
NC_045512.2	8225	8226	527.0
NC_045512.2	8226	8227	522.0
NC_045512.2	8227	8228	526.0
NC_045512.2	8228	8229	524.0
NC_045512.2	8229	8230	525.0
NC_045512.2	8230	8231	522.0
NC_045512.2	8231	8232	522.0
NC_045512.2	8232	8233	524.0
NC_045512.2	8233	8234	523.0
NC_045512.2	8234	8235	521.0
NC_045512.2	8235	8236	527.0
NC_045512.2	8236	8237	524.0
NC_045512.2	8237	8238	524.0
NC_045512.2	8238	8239	523.0
NC_045512.2	8239	8240	529.0
NC_045512.2	8240	8241	531.0
NC_045512.2	8241	8242	529.0
NC_045512.2	8242	8243	529.0
NC_045512.2	8243	8244	529.0
NC_045512.2	8244	8245	530.0
NC_045512.2	8245	8246	530.0
NC_045512.2	8246	8247	527.0
NC_045512.2	8247	8248	525.0
NC_045512.2	8248	8249	523.0
NC_045512.2	8249	8250	523.0
NC_045512.2	8250	8251	532.0
NC_045512.2	8251	8252	572.0
NC_045512.2	8252	8253	577.0
NC_045512.2	8253	8254	590.0
NC_045512.2	8254	8255	593.0
NC_045512.2	8255	8256	596.0
NC_045512.2	8256	8257	595.0
NC_045512.2	8257	8258	597.0
NC_045512.2	8258	8259	596.0
NC_045512.2	8259	8260	599.0
NC_045512.2	8260	8261	598.0
NC_045512.2	8261	8262	600.0
NC_045512.2	8262	8263	598.0
NC_045512.2	8263	8264	601.0
NC_045512.2	8264	8265	602.0
NC_045512.2	8265	8266	602.0
NC_045512.2	8266	8267	599.0
NC_045512.2	8267	8268	599.0
NC_045512.2	8268	8269	603.0
NC_045512.2	8269	8270	600.0
NC_045512.2	8270	8271	600.0
NC_045512.2	8271	8272	600.0
NC_045512.2	8272	8273	599.0
NC_045512.2	8273	8274	600.0
NC_045512.2	8274	8275	600.0
NC_045512.2	8275	8276	599.0
